YouTuber_ID,YouTuber_Name,Channel_Name,Country,Primary_Game,Secondary_Game,Subscribers,Total_Views,Video_Count,Avg_Views_Per_Video,Channel_Age_Years,Upload_Freq_Per_Week,Avg_Video_Length_Minutes,Likes_Per_Video_Avg,Comments_Per_Video_Avg,Engagement_Rate_Percent,Verified,Team_Affiliation,Content_Type,Language,Twitch,Instagram,Twitter,Contact_Email,Monetization_Est_USD_per_Month,Avg_Sponsor_Rate_USD,Top_Video_Title,Top_Video_Views,Last_Upload_Date,Peak_Concurrent_Viewers
YT100000,TaylorTV,RileyGamingLive,Brazil,Call of Duty,,6599,10016664,302,33167,8,1,9,2795,480,9.87,FALSE,Independent Creator,Interviews,German,twitch.tv/user0,@insta84810,@tw60974,contact+0@example.com,444.21,0.93,Top Moments 0,962956,04-05-2025,11608
YT100001,TaylorTV,EmmaGamingNetwork,Russia,Battlefield,,2389,506961,302,1678,1,1,2,166,8,10.37,FALSE,TSM,News/Analysis,Indonesian,twitch.tv/user1,@insta15592,@tw19772,contact+1@example.com,62.26,0.6,Top Moments 1,40245,30-04-2025,2136
YT100002,RileyGaming,NoahGamingEsports,France,Minecraft,Call of Duty,8402,17672717,292,60523,8,1,4,6629,1214,12.96,FALSE,FaZe Clan,Esports Team Channel,Japanese,twitch.tv/user2,@insta4278,@tw42469,contact+2@example.com,381.67,2.22,Top Moments 2,2663826,28-06-2025,47646
YT100003,SamGaming,LiamPlaysTV,China,Hearthstone,Minecraft,34093,61932393,297,208526,6,2,26,19435,5325,11.87,FALSE,T1,News/Analysis,English,twitch.tv/user3,@insta98196,@tw94804,contact+3@example.com,8612.56,16.96,Top Moments 3,3213010,09-04-2025,123707
YT100004,LiamPlays,NoahPlaysTV,China,Apex Legends,Overwatch,2049,3392479,309,10978,4,1,14,382,227,5.55,FALSE,FaZe Clan,Let's Play,Russian,twitch.tv/user4,@insta37048,@tw24639,contact+4@example.com,146.61,1.01,Top Moments 4,363175,26-06-2025,14003
YT100005,EmmaTV,NoahPlaysPlays,Germany,League of Legends,,2049,3335228,294,11344,12,1,11,1196,279,13,FALSE,Independent Creator,Interviews,Korean,twitch.tv/user5,@insta33098,@tw11592,contact+5@example.com,367.36,0.52,Top Moments 5,529086,21-04-2025,14860
YT100006,LiamPlays,ChrisTVChannel,South Korea,Overwatch,,37299,131974565,291,453520,8,4,20,37124,11336,10.69,FALSE,TSM,Tutorials,Korean,twitch.tv/user6,@insta30256,@tw64908,contact+6@example.com,12950.17,5.89,Top Moments 6,4650019,09-08-2025,511612
YT100007,JordanPlays,EmmaGamingHighlights,Japan,League of Legends,,10177,11934482,324,36834,3,1,8,2981,967,10.72,FALSE,NRG,Speedrun,Hindi,twitch.tv/user7,@insta19289,@tw44598,contact+7@example.com,315.53,3.68,Top Moments 7,415272,31-05-2025,27727
YT100008,AlexPlays,RileyGamingTV,USA,FIFA,Mobile Legends,1406,2110083,321,6573,4,1,15,737,76,12.37,FALSE,Complexity,Match Highlights,Japanese,twitch.tv/user8,@insta97530,@tw83710,contact+8@example.com,63.57,0.19,Top Moments 8,50613,09-08-2025,3873
YT100009,SamPlays,AlexGamingNetwork,UK,Esports News,,7101,3794578,328,11568,6,1,12,519,309,7.16,FALSE,Complexity,Vlogs,Portuguese,twitch.tv/user9,@insta14434,@tw24176,contact+9@example.com,177.71,1.24,Top Moments 9,171409,24-06-2025,10056
